Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Time(s)
0	96.0210	99.7600	0.5000	1	1.83E-02
0	99.7960	98.6260	0.5000	1	3.03E-02
0	95.7990	98.9140	0.5000	1	3.00E-01
0	95.1480	98.9540	0.5000	1	4.88E-02
0	95.1470	99.3390	0.5000	1	2.88E-02
0	95.8140	99.3300	0.5000	1	4.99E-02
0	96.2050	99.4920	0.5000	1	3.17E-02
0	96.3140	99.6200	0.5000	1	1.26E-02
0	96.3900	99.8860	0.5000	1	2.07E-02
0	96.3790	100.1820	0.5000	1	2.22E-02
0	96.3130	100.3830	0.5000	1	1.58E-02
0	96.2140	100.5060	0.5000	1	1.18E-02
0	95.8550	100.6690	0.5000	1	2.95E-02
0	95.3460	100.6600	0.5000	1	3.81E-02
0	95.1460	100.6610	0.5000	1	1.50E-02
0	95.1470	101.0460	0.5000	1	2.88E-02
0	95.8400	101.0880	0.5000	1	5.19E-02
0	99.9840	101.3910	0.5000	1	3.11E-01
0	100.5380	101.3380	0.5000	1	4.16E-02
0	101.1110	101.1750	0.5000	1	4.46E-02
0	101.5720	100.9540	0.5000	1	3.82E-02
0	102.0310	100.6270	0.5000	1	4.22E-02
0	102.3820	100.2600	0.5000	1	3.80E-02
0	102.5660	99.9960	0.5000	1	2.41E-02
0	102.2160	99.5510	0.5000	1	4.24E-02
0	101.7900	99.1940	0.5000	1	4.16E-02
0	101.2060	98.8560	0.5000	1	5.05E-02
0	100.5250	98.6610	0.5000	1	5.30E-02
0	100.0150	98.6100	0.5000	1	3.83E-02
0	98.6010	99.1560	0.5000	1	1.17E-02
0	100.0400	99.0480	0.5000	1	1.08E-01
0	100.7060	99.1460	0.5000	1	5.04E-02
0	101.1560	99.3340	0.5000	1	3.65E-02
0	101.6460	99.6290	0.5000	1	4.28E-02
0	102.0240	99.9990	0.5000	1	3.96E-02
0	101.6170	100.3880	0.5000	1	4.21E-02
0	101.1320	100.6920	0.5000	1	4.28E-02
0	100.6560	100.8630	0.5000	1	3.78E-02
0	99.9850	100.9500	0.5000	1	5.06E-02
0	96.5890	100.6950	0.5000	1	2.55E-01
0	96.7310	100.5190	0.5000	1	1.69E-02
0	96.7970	100.3180	0.5000	1	1.58E-02
0	96.8290	99.8860	0.5000	1	3.24E-02
0	96.7320	99.4840	0.5000	1	3.09E-02
0	96.5810	99.3070	0.5000	1	1.74E-02
0	98.3820	99.1720	0.5000	1	1.35E-01
0	98.6340	99.5940	0.5000	1	3.68E-02
0	100.0290	99.4900	0.5000	1	1.05E-01
0	100.5600	99.5650	0.5000	1	4.01E-02
0	100.9350	99.7140	0.5000	1	3.02E-02
0	101.4030	100	0.5000	1	4.10E-02
0	100.9250	100.3040	0.5000	1	4.24E-02
0	100.5640	100.4330	0.5000	1	2.87E-02
0	99.9850	100.5100	0.5000	1	4.37E-02
0	98.6340	100.4080	0.5000	1	1.01E-01
0	98.5360	100.3810	0.5000	1	7.60E-03
0	98.4380	100.3530	0.5000	1	7.63E-03
0	98.3400	100.3260	0.5000	1	7.60E-03
0	98.2420	100.2990	0.5000	1	7.60E-03
0	97.3000	100.2530	0.5000	1	7.06E-02
0	97.3220	100.1140	0.5000	1	1.05E-02
0	97.3010	99.7480	0.5000	1	2.74E-02
0	97.5760	99.7270	0.5000	1	2.06E-02
0	98.2420	99.7030	0.5000	1	4.99E-02
0	98.3320	99.6780	0.5000	1	6.99E-03
0	98.4220	99.6530	0.5000	1	6.99E-03
0	98.5030	99.7690	0.5000	1	1.06E-02
0	98.5830	99.8850	0.5000	1	1.05E-02
0	98.6640	100.0010	0.5000	1	1.06E-02
0	98.9950	100.0010	0.5000	1	2.48E-02
0	99.3250	100.0010	0.5000	1	2.47E-02
0	99.6560	100.0010	0.5000	1	2.48E-02
0	100.2260	99.9990	0.5000	1	4.26E-02
0	100.2260	99.9990	0.5500	1	3.85E-04
0	94.8700	101.3280	0.5500	1	4.24E-02
0	94.8130	101.1980	0.5500	1	1.10E-02
0	94.8130	98.7060	0.5500	1	1.94E-01
0	94.9560	98.6300	0.5500	1	1.26E-02
0	100.0450	98.2410	0.5500	1	3.97E-01
0	100.7750	98.3370	0.5500	1	5.72E-02
0	101.3010	98.4960	0.5500	1	4.27E-02
0	101.7960	98.7470	0.5500	1	4.31E-02
0	102.3670	99.1760	0.5500	1	5.55E-02
0	102.7310	99.5650	0.5500	1	4.14E-02
0	103.0080	100.0050	0.5500	1	4.04E-02
0	102.5910	100.6000	0.5500	1	5.65E-02
0	102.1330	101.0260	0.5500	1	4.86E-02
0	101.4700	101.4300	0.5500	1	6.03E-02
0	100.8950	101.6310	0.5500	1	4.73E-02
0	100.3640	101.7290	0.5500	1	4.20E-02
0	99.7400	101.7470	0.5500	1	4.85E-02
0	94.9060	101.3660	0.5500	1	3.77E-01
0	95.0220	101.1650	0.5500	1	1.79E-03
0	95.8900	101.1990	0.5500	1	6.75E-02
0	96.3520	101.1500	0.5500	1	3.61E-02
0	96.6580	100.9370	0.5500	1	2.90E-02
0	96.9170	100.5070	0.5500	1	3.90E-02
0	96.9910	100.0860	0.5500	1	3.32E-02
0	96.9410	99.5640	0.5500	1	4.08E-02
0	96.6930	99.1030	0.5500	1	4.07E-02
0	96.3600	98.8530	0.5500	1	3.24E-02
0	100.0420	98.5720	0.5500	1	2.87E-01
0	100.7960	98.6770	0.5500	1	5.92E-02
0	101.3130	98.8680	0.5500	1	4.28E-02
0	101.8230	99.1580	0.5500	1	4.56E-02
0	102.3320	99.6150	0.5500	1	5.32E-02
0	102.6130	99.9960	0.5500	1	3.68E-02
0	102.3410	100.3830	0.5500	1	3.68E-02
0	101.9340	100.7620	0.5500	1	4.32E-02
0	101.4220	101.0730	0.5500	1	4.66E-02
0	101.0050	101.2550	0.5500	1	3.54E-02
0	100.4750	101.3890	0.5500	1	4.25E-02
0	99.7500	101.4180	0.5500	1	5.64E-02
0	96.5710	101.1670	0.5500	1	2.48E-01
0	97.3370	99.4320	0.5500	1	1.46E-02
0	97.4010	99.6190	0.5500	1	1.54E-02
0	97.4210	100.2750	0.5500	1	5.10E-02
0	97.3020	100.7180	0.5500	1	3.57E-02
0	97.2680	100.7810	0.5500	1	5.56E-03
0	99.7590	100.9780	0.5500	1	1.94E-01
0	100.4170	100.9520	0.5500	1	5.12E-02
0	100.9980	100.7880	0.5500	1	4.69E-02
0	101.5710	100.4690	0.5500	1	5.10E-02
0	101.9970	100.1030	0.5500	1	4.37E-02
0	102.0790	99.9910	0.5500	1	1.08E-02
0	101.8990	99.7910	0.5500	1	2.09E-02
0	101.3770	99.3920	0.5500	1	5.11E-02
0	100.8090	99.1440	0.5500	1	4.82E-02
0	100.2850	99.0330	0.5500	1	4.16E-02
0	99.7040	99.0380	0.5500	1	4.52E-02
0	97.2650	99.2250	0.5500	1	1.90E-01
0	97.8420	99.6210	0.5500	1	5.44E-02
0	100.0260	99.4540	0.5500	1	1.70E-01
